Country,Year,Month,Events,Fatalities
Afghanistan,2017,April,30,78
Afghanistan,2017,August,56,178
Afghanistan,2017,December,46,193
Afghanistan,2017,February,54,119
Afghanistan,2017,January,65,80
Afghanistan,2017,July,81,179
Afghanistan,2017,June,41,159
Afghanistan,2017,March,51,45
Afghanistan,2017,May,51,91
Afghanistan,2017,November,40,56
Afghanistan,2017,October,55,185
Afghanistan,2017,September,74,71
Afghanistan,2018,April,40,175
Afghanistan,2018,August,73,113
Afghanistan,2018,December,26,111
Afghanistan,2018,February,57,47
Afghanistan,2018,January,59,191
Afghanistan,2018,July,89,162
Afghanistan,2018,June,70,142
Afghanistan,2018,March,45,136
Afghanistan,2018,May,71,90
Afghanistan,2018,November,41,117
Afghanistan,2018,October,64,159
Afghanistan,2018,September,53,142
Afghanistan,2019,April,30,50
Afghanistan,2019,August,125,177
Afghanistan,2019,December,71,112
Afghanistan,2019,February,29,63
Afghanistan,2019,January,25,59
Afghanistan,2019,July,100,192
Afghanistan,2019,June,67,64
Afghanistan,2019,March,54,115
Afghanistan,2019,May,59,157
Afghanistan,2019,November,61,131
Afghanistan,2019,October,100,186
Afghanistan,2019,September,151,176
Afghanistan,2020,April,111,177
Afghanistan,2020,August,164,250
Afghanistan,2020,December,128,170
Afghanistan,2020,February,70,62
Afghanistan,2020,January,87,84
Afghanistan,2020,July,167,226
Afghanistan,2020,June,139,269
Afghanistan,2020,March,88,89
Afghanistan,2020,May,126,240
Afghanistan,2020,November,164,299
Afghanistan,2020,October,187,313
Afghanistan,2020,September,152,177
Afghanistan,2021,April,219,184
Afghanistan,2021,August,115,170
Afghanistan,2021,December,106,67
Afghanistan,2021,February,156,149
Afghanistan,2021,January,146,183
Afghanistan,2021,July,127,296
Afghanistan,2021,June,193,222
Afghanistan,2021,March,148,166
Afghanistan,2021,May,174,350
Afghanistan,2021,November,96,106
Afghanistan,2021,October,68,230
Afghanistan,2021,September,71,98
Afghanistan,2022,April,111,296
Afghanistan,2022,August,106,108
Afghanistan,2022,December,76,46
Afghanistan,2022,February,107,95
Afghanistan,2022,January,128,104
Afghanistan,2022,July,91,66
Afghanistan,2022,June,101,119
Afghanistan,2022,March,121,76
Afghanistan,2022,May,126,117
Afghanistan,2022,November,81,66
Afghanistan,2022,October,92,83
Afghanistan,2022,September,102,181
Afghanistan,2023,April,62,36
Afghanistan,2023,August,57,30
Afghanistan,2023,December,29,23
Afghanistan,2023,February,65,35
Afghanistan,2023,January,66,66
Afghanistan,2023,July,53,23
Afghanistan,2023,June,38,38
Afghanistan,2023,March,69,64
Afghanistan,2023,May,63,37
Afghanistan,2023,November,40,31
Afghanistan,2023,October,32,48
Afghanistan,2023,September,51,31
Afghanistan,2024,April,34,28
Afghanistan,2024,August,55,21
Afghanistan,2024,December,37,68
Afghanistan,2024,February,49,23
Afghanistan,2024,January,69,51
Afghanistan,2024,July,63,25
Afghanistan,2024,June,35,22
Afghanistan,2024,March,35,31
Afghanistan,2024,May,41,34
Afghanistan,2024,November,61,36
Afghanistan,2024,October,41,21
Afghanistan,2024,September,39,47
Afghanistan,2025,April,22,11
Afghanistan,2025,August,50,32
Afghanistan,2025,December,37,21
Afghanistan,2025,February,43,15
Afghanistan,2025,January,58,26
Afghanistan,2025,July,45,25
Afghanistan,2025,June,23,21
Afghanistan,2025,March,24,24
Afghanistan,2025,May,45,11
Afghanistan,2025,November,39,36
Afghanistan,2025,October,35,40
Afghanistan,2025,September,47,25
Afghanistan,2026,April,52,43
Afghanistan,2026,February,43,68
Afghanistan,2026,January,40,19
Afghanistan,2026,July,42,20
Afghanistan,2026,June,40,61
Afghanistan,2026,March,63,332
Afghanistan,2026,May,43,36
Colombia,2018,April,106,95
Colombia,2018,August,111,98
Colombia,2018,December,113,100
Colombia,2018,February,58,51
Colombia,2018,January,103,128
