priogrid_gid,worldpop_population
173288,5525.76171875
173293,8163.5810546875
174004,78281.453125
174009,61416.12890625
174013,83052.609375
174729,145168.265625
174731,30204.35546875
174732,323051.28125
174733,88764.765625
174735,32806.3203125
175443,18110.376953125
175446,16262.9208984375
175447,14450.27734375
175448,45143.703125
175449,282206.3125
175450,151116.296875
175451,196332.59375
175452,863201.1875
175453,27319.53125
175454,34243.47265625
175455,34214.86328125
175456,25351.498046875
176163,29614.4765625
176164,60317.0390625
176165,199593.8125
176166,41418.4296875
176168,9652.1005859375
176169,37154.875
176170,201640.46875
176171,120368.0703125
176172,32027.623046875
176173,38010.76171875
176174,48570.859375
176175,81023.265625
176176,36212.5703125
176177,32458.59765625
176178,7314.35400390625
176885,145449.046875
176886,56886.00390625
176888,20276.7265625
176891,114674.265625
176892,133884.03125
176893,72901.703125
176894,68862.125
176895,87116.28125
176896,108466.09375
176897,68404.9140625
176898,83576.921875
176899,106968.5546875
177603,5777.609375
177605,197068.6875
177612,67035.5078125
177613,67948.6484375
177615,123657.515625
177616,137157.21875
177617,250292.84375
177618,223151.71875
177619,215964.234375
177620,601696.0625
178325,36657.3828125
178327,48475.1953125
178331,64147.3515625
178333,104499.421875
178337,299225.90625
178338,371284.6875
178339,331639.15625
178340,372163.375
179043,34169.0546875
179044,87797.7421875
179045,1064112.0
179046,130432.90625
179047,102489.65625
179048,51334.28125
179049,45428.16796875
179050,30336.697265625
179057,174695.25
179058,440936.75
179059,457859.21875
179060,202040.890625
179061,907929.0
179062,574837.75
179763,84574.1640625
179765,230814.59375
179766,101359.9609375
179767,206551.859375
179768,82290.4765625
179770,51194.4609375
179771,69946.390625
179772,56300.5703125
179778,317642.875
179779,4642521.0
179780,312307.875
179781,450869.875
179782,325251.25
179783,238838.15625
180484,45360.5078125
180485,119162.59375
180487,72634.0234375
180489,37158.04296875
180490,77080.90625
180491,62510.88671875
180497,32735.203125
180498,213704.03125
180499,794535.125
180500,270137.25
180501,88328.34375
180502,138961.28125
180503,144046.203125
180504,81430.484375
181207,92132.359375
181208,94629.203125
181209,196508.09375
181210,383821.0625
181211,169061.296875
181212,77171.1875
181213,212744.5625
181214,113065.828125
181215,93480.640625
181216,57912.9609375
181217,111592.65625
181218,356023.25
181219,127868.1875
181220,89359.0859375
181930,211334.203125
181931,117450.140625
181932,210111.65625
181933,237376.46875
181934,156357.25
181935,93707.1015625
181936,137556.09375
181937,135810.21875
181938,351214.6875
181939,211333.65625
181940,119534.609375
181941,46705.046875
181942,36471.8203125
182650,130535.875
182651,76977.84375
182652,184659.46875
182653,194577.203125
182654,345113.875
182655,671295.0
182657,61334.3515625
182658,454070.71875
182659,313855.71875
182660,405303.6875
182661,230152.5625
182662,182609.03125
182663,71193.515625
183372,57333.5625
183373,65141.265625
183374,146442.4375
183378,223991.0
183379,255464.875
183380,319847.4375
183381,294844.25
183382,271579.5
184102,96541.109375
184822,61249.984375
155736,4482674.5
156456,4533323.0
157175,1335237.75
186982,26286.5625
187700,53558.6328125
165375,15842679.0
166085,42658.88671875
166087,40140.99609375
167525,71886.71875
167526,33162.26953125
167527,156385.4375
167528,51155.2734375
167529,37130.48828125
167531,23839.3359375
167532,21211.984375
168249,145224.5
168973,55554.140625
168974,89725.90625
171134,59773.15234375
171854,99521.25
171856,185064.796875
172572,35088.09375
172574,164834.875
172575,98506.6875
173294,1007446.3125
173295,994789.6875
173296,97318.8671875
175461,254770.703125
175462,788619.875
175469,11450350.0
176179,171117.140625
176180,277090.3125
176181,450477.78125
176182,487429.3125
176190,3447603.0
176900,357585.9375
176901,368639.46875
176902,1756573.5
177621,223894.359375
177622,1170958.125
177623,797731.25
177629,703431.375
178341,493715.40625
178342,356508.5625
178343,1628286.0
178344,4519880.5
178347,5484142.0
178348,1220861.75
178349,502897.03125
179063,789778.625
179064,5947366.0
179065,3443169.0
179784,1858315.25
179785,2108915.25
180505,762978.25
143697,40815.00390625
145847,47595.640625
145851,261783.484375
145856,38484.8359375
145860,52578.62109375
145862,13398.9130859375
146570,525931.0625
146571,241699.625
146581,36106.71484375
146589,296826.53125
147290,565942.875
147299,89449.1484375
147300,71081.359375
147302,38682.7734375
147303,96128.0625
148007,64432.21875
148009,143106.484375
148010,83827.15625
148017,128514.1875
148725,262880.25
148728,31897.41796875
148729,64606.6015625
148730,54200.29296875
148731,224255.203125
148741,496802.8125
149449,559125.1875
149450,112358.6328125
149451,398758.5
149453,92383.640625
149461,94297.234375
150166,43127.4765625
150170,37429.5625
150172,145487.375
150187,947026.3125
150188,1076154.875
150907,904669.375
151626,1810657.125
151627,612199.75
152345,4508609.5
152346,4809237.0
