Date,total_clips,conflict_relevant_clips,mean_relevance_score,distinct_stations,conflict_relevant_pct
2026-05-03,260,59,1.1846153846153846,4,22.7
2026-05-10,730,155,1.1479452054794521,4,21.2
2026-05-17,875,209,1.2468571428571429,4,23.9
2026-05-24,1135,187,2.1039647577092513,4,16.5
2026-05-31,1223,222,1.8446443172526574,3,18.2
2026-06-07,872,234,1.6903669724770642,6,26.8
2026-06-14,2751,667,1.4572882588149765,9,24.2
2026-06-21,3860,926,1.3523316062176165,8,24.0
2026-06-28,2146,352,1.4534016775396086,8,16.4
2026-07-05,1426,302,1.449509116409537,8,21.2
2026-07-12,1402,244,1.494293865905849,8,17.4
2026-07-19,1382,287,1.3683068017366136,8,20.8
2026-07-26,1432,279,1.3289106145251397,6,19.5
2026-08-02,1305,340,1.296551724137931,6,26.1
2026-08-09,1060,272,1.4405660377358491,5,25.7
