Loading mega dataset...
228851 rows, 25 feature sets x 5 models = 125 configurations planned
[1/125] cell_only / xgb_default: precision=0.332 recall=0.706 AP=0.501 AUC=0.835 (1.1s, ETA 2.2m)
[2/125] cell_only / rf_default: precision=0.335 recall=0.707 AP=0.505 AUC=0.836 (4.4s, ETA 5.7m)
[3/125] cell_only / logreg: precision=0.354 recall=0.665 AP=0.490 AUC=0.833 (0.4s, ETA 4.0m)
[4/125] cell_only / lgbm_default: precision=0.333 recall=0.703 AP=0.499 AUC=0.834 (2.3s, ETA 4.2m)
[5/125] cell_only / ensemble_3way: precision=0.338 recall=0.698 AP=0.503 AUC=0.836 (4.9s, ETA 5.3m)
[6/125] plus_ring1 / xgb_default: precision=0.334 recall=0.714 AP=0.504 AUC=0.839 (0.8s, ETA 4.6m)
[7/125] plus_ring1 / rf_default: precision=0.338 recall=0.707 AP=0.511 AUC=0.840 (4.2s, ETA 5.1m)
[8/125] plus_ring1 / logreg: precision=0.361 recall=0.668 AP=0.495 AUC=0.836 (0.4s, ETA 4.5m)
[9/125] plus_ring1 / lgbm_default: precision=0.337 recall=0.711 AP=0.502 AUC=0.838 (0.9s, ETA 4.2m)
[10/125] plus_ring1 / ensemble_3way: precision=0.342 recall=0.702 AP=0.509 AUC=0.840 (4.9s, ETA 4.7m)
[11/125] plus_ring2 / xgb_default: precision=0.335 recall=0.711 AP=0.503 AUC=0.839 (0.8s, ETA 4.3m)
[12/125] plus_ring2 / rf_default: precision=0.338 recall=0.710 AP=0.511 AUC=0.841 (4.1s, ETA 4.6m)
[13/125] plus_ring2 / logreg: precision=0.359 recall=0.668 AP=0.496 AUC=0.836 (0.4s, ETA 4.3m)
[14/125] plus_ring2 / lgbm_default: precision=0.337 recall=0.709 AP=0.500 AUC=0.838 (0.9s, ETA 4.0m)
[15/125] plus_ring2 / ensemble_3way: precision=0.342 recall=0.702 AP=0.509 AUC=0.841 (5.0s, ETA 4.3m)
[16/125] plus_momentum / xgb_default: precision=0.335 recall=0.711 AP=0.503 AUC=0.839 (0.9s, ETA 4.1m)
[17/125] plus_momentum / rf_default: precision=0.338 recall=0.708 AP=0.511 AUC=0.841 (4.4s, ETA 4.3m)
[18/125] plus_momentum / logreg: precision=0.349 recall=0.684 AP=0.494 AUC=0.836 (0.5s, ETA 4.1m)
[19/125] plus_momentum / lgbm_default: precision=0.338 recall=0.706 AP=0.501 AUC=0.839 (0.9s, ETA 3.9m)
[20/125] plus_momentum / ensemble_3way: precision=0.341 recall=0.704 AP=0.509 AUC=0.841 (5.1s, ETA 4.1m)
[21/125] plus_acled / xgb_default: precision=0.338 recall=0.700 AP=0.498 AUC=0.836 (0.9s, ETA 4.0m)
[22/125] plus_acled / rf_default: precision=0.336 recall=0.710 AP=0.510 AUC=0.841 (4.5s, ETA 4.1m)
[23/125] plus_acled / logreg: precision=0.350 recall=0.677 AP=0.492 AUC=0.835 (0.5s, ETA 3.9m)
[24/125] plus_acled / lgbm_default: precision=0.343 recall=0.687 AP=0.492 AUC=0.833 (1.0s, ETA 3.8m)
[25/125] plus_acled / ensemble_3way: precision=0.343 recall=0.699 AP=0.508 AUC=0.840 (5.3s, ETA 4.0m)
[26/125] round3_baseline / xgb_default: precision=0.338 recall=0.700 AP=0.498 AUC=0.836 (0.9s, ETA 3.8m)
[27/125] round3_baseline / rf_default: precision=0.336 recall=0.710 AP=0.510 AUC=0.841 (4.5s, ETA 3.9m)
[28/125] round3_baseline / logreg: precision=0.350 recall=0.677 AP=0.492 AUC=0.835 (0.5s, ETA 3.8m)
[29/125] round3_baseline / lgbm_default: precision=0.343 recall=0.687 AP=0.492 AUC=0.833 (1.0s, ETA 3.7m)
[30/125] round3_baseline / ensemble_3way: precision=0.343 recall=0.699 AP=0.508 AUC=0.840 (5.3s, ETA 3.8m)
[31/125] plus_gdelt_only / xgb_default: precision=0.345 recall=0.678 AP=0.503 AUC=0.832 (0.9s, ETA 3.7m)
[32/125] plus_gdelt_only / rf_default: precision=0.346 recall=0.688 AP=0.508 AUC=0.835 (5.2s, ETA 3.8m)
[33/125] plus_gdelt_only / logreg: precision=0.374 recall=0.632 AP=0.490 AUC=0.831 (0.6s, ETA 3.6m)
[34/125] plus_gdelt_only / lgbm_default: precision=0.355 recall=0.671 AP=0.501 AUC=0.831 (1.1s, ETA 3.5m)
[35/125] plus_gdelt_only / ensemble_3way: precision=0.355 recall=0.669 AP=0.508 AUC=0.835 (6.1s, ETA 3.7m)
[36/125] plus_chirps_only / xgb_default: precision=0.334 recall=0.693 AP=0.497 AUC=0.832 (0.8s, ETA 3.6m)
[37/125] plus_chirps_only / rf_default: precision=0.336 recall=0.703 AP=0.506 AUC=0.835 (4.8s, ETA 3.6m)
[38/125] plus_chirps_only / logreg: precision=0.354 recall=0.658 AP=0.489 AUC=0.829 (0.4s, ETA 3.5m)
[39/125] plus_chirps_only / lgbm_default: precision=0.339 recall=0.685 AP=0.494 AUC=0.828 (0.9s, ETA 3.4m)
[40/125] plus_chirps_only / ensemble_3way: precision=0.341 recall=0.687 AP=0.503 AUC=0.834 (5.5s, ETA 3.5m)
[41/125] plus_unhcr_only / xgb_default: precision=0.327 recall=0.690 AP=0.467 AUC=0.825 (0.8s, ETA 3.4m)
[42/125] plus_unhcr_only / rf_default: precision=0.337 recall=0.700 AP=0.507 AUC=0.835 (4.1s, ETA 3.4m)
[43/125] plus_unhcr_only / logreg: precision=0.335 recall=0.676 AP=0.487 AUC=0.829 (0.4s, ETA 3.3m)
[44/125] plus_unhcr_only / lgbm_default: precision=0.329 recall=0.688 AP=0.488 AUC=0.822 (0.8s, ETA 3.2m)
[45/125] plus_unhcr_only / ensemble_3way: precision=0.339 recall=0.690 AP=0.503 AUC=0.833 (4.8s, ETA 3.2m)
[46/125] plus_hawkes_only / xgb_default: precision=0.335 recall=0.713 AP=0.504 AUC=0.840 (0.9s, ETA 3.1m)
[47/125] plus_hawkes_only / rf_default: precision=0.336 recall=0.711 AP=0.509 AUC=0.841 (5.7s, ETA 3.2m)
[48/125] plus_hawkes_only / logreg: precision=0.361 recall=0.670 AP=0.498 AUC=0.837 (0.6s, ETA 3.1m)
[49/125] plus_hawkes_only / lgbm_default: precision=0.336 recall=0.709 AP=0.504 AUC=0.839 (0.9s, ETA 3.0m)
[50/125] plus_hawkes_only / ensemble_3way: precision=0.342 recall=0.703 AP=0.509 AUC=0.841 (6.6s, ETA 3.1m)
[51/125] plus_cusum_only / xgb_default: precision=0.332 recall=0.704 AP=0.500 AUC=0.834 (0.8s, ETA 3.0m)
[52/125] plus_cusum_only / rf_default: precision=0.331 recall=0.713 AP=0.507 AUC=0.836 (4.1s, ETA 3.0m)
[53/125] plus_cusum_only / logreg: precision=0.350 recall=0.669 AP=0.485 AUC=0.832 (0.5s, ETA 2.9m)
[54/125] plus_cusum_only / lgbm_default: precision=0.334 recall=0.701 AP=0.498 AUC=0.834 (0.9s, ETA 2.8m)
[55/125] plus_cusum_only / ensemble_3way: precision=0.337 recall=0.700 AP=0.504 AUC=0.836 (4.9s, ETA 2.9m)
[56/125] plus_graphdiff_only / xgb_default: precision=0.333 recall=0.712 AP=0.505 AUC=0.839 (0.9s, ETA 2.8m)
[57/125] plus_graphdiff_only / rf_default: precision=0.339 recall=0.711 AP=0.511 AUC=0.842 (4.5s, ETA 2.8m)
[58/125] plus_graphdiff_only / logreg: precision=0.356 recall=0.672 AP=0.496 AUC=0.836 (0.5s, ETA 2.7m)
[59/125] plus_graphdiff_only / lgbm_default: precision=0.337 recall=0.708 AP=0.504 AUC=0.838 (0.9s, ETA 2.6m)
[60/125] plus_graphdiff_only / ensemble_3way: precision=0.343 recall=0.704 AP=0.510 AUC=0.841 (5.3s, ETA 2.6m)
