week,n_events,n_material_conflict,n_verbal_conflict,n_material_coop,n_verbal_coop,mean_goldstein,mean_tone,total_mentions,country,region,distinct_actors,material_conflict_share,baseline_mean_share,baseline_std_share,baseline_mean_goldstein,escalation_next_1w,label_1w_ahead,label_2w_ahead,n_events_lag1,n_events_lag2,n_events_delta,material_conflict_share_lag1,material_conflict_share_lag2,material_conflict_share_delta,mean_goldstein_lag1,mean_goldstein_lag2,mean_goldstein_delta,distinct_actors_lag1,distinct_actors_lag2,distinct_actors_delta,mean_tone_lag1,mean_tone_lag2,mean_tone_delta
2026-01-26,2,1,1,0,0,-3.5,-9.933232552280135,7,AF,Central/SE Asia,3,0.5,,,,0,0,0,,,,,,,,,,,,,,,
2026-02-02,2262,503,332,282,1145,-0.5608753315649868,-4.85279808704557,31369,AF,Central/SE Asia,201,0.22236958443854996,,,,0,0,0,2.0,,2260.0,0.5,,-0.2776304155614501,-3.5,,2.939124668435013,3.0,,198.0,-9.933232552280135,,5.080434465234565
2026-02-09,2251,416,312,222,1301,-0.10422034651266106,-4.020454389814012,30718,AF,Central/SE Asia,192,0.18480675255442025,,,,0,0,0,2262.0,2.0,-11.0,0.22236958443854996,0.5,-0.037562831884129705,-0.5608753315649868,-3.5,0.45665498505232577,201.0,3.0,-9.0,-4.85279808704557,-9.933232552280135,0.8323436972315577
2026-02-16,2481,552,421,226,1282,-1.0371221281741232,-4.626703725701834,35906,AF,Central/SE Asia,186,0.22249093107617895,,,,0,0,0,2251.0,2262.0,230.0,0.18480675255442025,0.22236958443854996,0.037684178521758704,-0.10422034651266106,-0.5608753315649868,-0.9329017816614621,192.0,201.0,-6.0,-4.020454389814012,-4.85279808704557,-0.6062493358878216
2026-02-23,7884,2567,1441,413,3463,-2.3946727549467273,-5.883419991021966,123571,AF,Central/SE Asia,248,0.32559614408929477,0.28241681701728727,0.14613572247232526,-1.3005544515629428,0,0,0,2481.0,2251.0,5403.0,0.22249093107617895,0.18480675255442025,0.10310521301311582,-1.0371221281741232,-0.10422034651266106,-1.357550626772604,186.0,192.0,62.0,-4.626703725701834,-4.020454389814012,-1.256716265320132
2026-03-02,4526,1381,728,389,2028,-1.8047282368537338,-5.309286358424111,45526,AF,Central/SE Asia,260,0.3051259390190013,0.29105268243168875,0.12802198207401583,-1.5193781122396997,0,0,0,7884.0,2481.0,-3358.0,0.32559614408929477,0.22249093107617895,-0.020470205070293457,-2.3946727549467273,-1.0371221281741232,0.5899445180929934,248.0,186.0,12.0,-5.883419991021966,-4.626703725701834,0.5741336325978548
2026-03-09,3887,1018,639,374,1856,-1.2093645484949833,-4.970328813216134,52004,AF,Central/SE Asia,242,0.26189863648057626,0.29339822519624087,0.11465038918594983,-1.5669364663420389,0,0,0,4526.0,7884.0,-639.0,0.3051259390190013,0.32559614408929477,-0.04322730253842505,-1.8047282368537338,-2.3946727549467273,0.5953636883587505,260.0,248.0,-18.0,-5.309286358424111,-5.883419991021966,0.33895754520797716
2026-03-16,4894,1095,1013,474,2312,-1.2463833265222721,-5.340687430310934,72266,AF,Central/SE Asia,251,0.22374335921536576,0.2888982839511459,0.10533599930163136,-1.5158547637924593,0,0,0,3887.0,4526.0,1007.0,0.26189863648057626,0.3051259390190013,-0.03815527726521051,-1.2093645484949833,-1.8047282368537338,-0.03701877802728881,242.0,260.0,9.0,-4.970328813216134,-5.309286358424111,-0.37035861709480056
2026-03-23,2778,528,339,430,1481,0.30536357091432687,-3.3082313744664353,33693,AF,Central/SE Asia,200,0.1900647948164147,0.2807539183591734,0.1002058988735545,-1.4821708341336859,0,0,0,4894.0,3887.0,-2116.0,0.22374335921536576,0.26189863648057626,-0.03367856439895106,-1.2463833265222721,-1.2093645484949833,1.5517468974365989,251.0,242.0,-51.0,-5.340687430310934,-4.970328813216134,2.032456055844499
2026-03-30,2430,562,271,265,1332,-0.3181481481481482,-4.267324878197826,27588,AF,Central/SE Asia,197,0.23127572016460907,0.2706773490766447,0.09848809387167222,-1.2835559002394623,0,0,0,2778.0,4894.0,-348.0,0.1900647948164147,0.22374335921536576,0.04121092534819437,0.30536357091432687,-1.2463833265222721,-0.623511719062475,200.0,251.0,-3.0,-3.3082313744664353,-5.340687430310934,-0.9590935037313906
