week,n_events,n_material_conflict,n_severe_root,n_coerce_protest_root,mean_goldstein,mean_tone,tone_neg_share,distinct_actors,country,material_conflict_share,severe_root_share,coerce_protest_share,baseline_mean_material_conflict_share,baseline_std_material_conflict_share,baseline_mean_severe_root_share,baseline_std_severe_root_share,baseline_mean_mean_goldstein,baseline_std_mean_goldstein,escalation_quad,label_quad_1,label_quad_2,label_quad_4,label_quad_8,n_events_lag1,n_events_lag2,n_events_delta,material_conflict_share_lag1,material_conflict_share_lag2,material_conflict_share_delta,severe_root_share_lag1,severe_root_share_lag2,severe_root_share_delta,coerce_protest_share_lag1,coerce_protest_share_lag2,coerce_protest_share_delta,mean_goldstein_lag1,mean_goldstein_lag2,mean_goldstein_delta,distinct_actors_lag1,distinct_actors_lag2,distinct_actors_delta,mean_tone_lag1,mean_tone_lag2,mean_tone_delta,tone_neg_share_lag1,tone_neg_share_lag2,tone_neg_share_delta,radio_n_clips,radio_mean_relevance,radio_conflict_clip_share,radio_actor_hits_per_clip,radio_location_hits_per_clip,radio_violence_hits_per_clip,radio_diplomacy_hits_per_clip,radio_violence_to_diplomacy_ratio,radio_n_stations,radio_commentary_share,radio_mean_text_len,radio_n_clips_lag1,radio_n_clips_delta,radio_mean_relevance_lag1,radio_mean_relevance_delta,radio_conflict_clip_share_lag1,radio_conflict_clip_share_delta,radio_actor_hits_per_clip_lag1,radio_actor_hits_per_clip_delta,radio_location_hits_per_clip_lag1,radio_location_hits_per_clip_delta,radio_violence_hits_per_clip_lag1,radio_violence_hits_per_clip_delta,radio_diplomacy_hits_per_clip_lag1,radio_diplomacy_hits_per_clip_delta,radio_violence_to_diplomacy_ratio_lag1,radio_violence_to_diplomacy_ratio_delta,radio_n_stations_lag1,radio_n_stations_delta,radio_commentary_share_lag1,radio_commentary_share_delta,radio_mean_text_len_lag1,radio_mean_text_len_delta
2023-08-07,168,18,14,3,1.5910714285714287,-2.0072447621480007,0.8035714285714286,42,CG,0.10714285714285714,0.08333333333333333,0.017857142857142856,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-14,240,40,22,19,0.63,-3.5348770455935314,0.8458333333333333,56,CG,0.16666666666666666,0.09166666666666666,0.07916666666666666,,,,,,,0,0,0,0,0,168.0,,72.0,0.10714285714285714,,0.05952380952380952,0.08333333333333333,,0.008333333333333331,0.017857142857142856,,0.06130952380952381,1.5910714285714287,,-0.9610714285714287,42.0,,14.0,-2.0072447621480007,,-1.5276322834455307,0.8035714285714286,,0.04226190476190472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-21,308,59,40,24,0.2896103896103896,-4.567001871903557,0.8701298701298701,64,CG,0.19155844155844157,0.12987012987012986,0.07792207792207792,,,,,,,0,0,0,0,0,240.0,168.0,68.0,0.16666666666666666,0.10714285714285714,0.02489177489177491,0.09166666666666666,0.08333333333333333,0.0382034632034632,0.07916666666666666,0.017857142857142856,-0.0012445887445887427,0.63,1.5910714285714287,-0.3403896103896104,56.0,42.0,8.0,-3.5348770455935314,-2.0072447621480007,-1.0321248263100253,0.8458333333333333,0.8035714285714286,0.02429653679653676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,237,79,71,10,-1.3240506329113924,-3.9085593808760577,0.7721518987341772,69,CG,0.3333333333333333,0.29957805907172996,0.04219409282700422,,,,,,,0,0,0,0,1,308.0,240.0,-71.0,0.19155844155844157,0.16666666666666666,0.14177489177489175,0.12987012987012986,0.09166666666666666,0.1697079292016001,0.07792207792207792,0.07916666666666666,-0.0357279850950737,0.2896103896103896,0.63,-1.613661022521782,64.0,56.0,5.0,-4.567001871903557,-3.5348770455935314,0.6584424910274991,0.8701298701298701,0.8458333333333333,-0.09797797139569286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,269,58,37,17,-0.2788104089219331,-4.848532121421916,0.8401486988847584,59,CG,0.21561338289962825,0.137546468401487,0.06319702602230483,0.19967532467532467,0.09588565433392901,0.15111204723546495,0.10102983561489477,0.29665779631760647,1.2128986155261279,0,0,0,0,0,237.0,308.0,32.0,0.3333333333333333,0.19155844155844157,-0.11771995043370506,0.29957805907172996,0.12987012987012986,-0.16203159067024298,0.04219409282700422,0.07792207792207792,0.02100293319530061,-1.3240506329113924,0.2896103896103896,1.0452402239894591,69.0,64.0,-10.0,-3.9085593808760577,-4.567001871903557,-0.939972740545858,0.7721518987341772,0.8701298701298701,0.06799680015058118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,304,70,22,57,-0.2944078947368421,-4.096294692362095,0.805921052631579,77,CG,0.23026315789473684,0.07236842105263158,0.1875,0.2028629363201854,0.08334475610544761,0.14839893146866937,0.0877044796410062,0.18156415526969855,1.081468917587196,0,0,0,0,0,269.0,237.0,35.0,0.21561338289962825,0.3333333333333333,0.014649774995108583,0.137546468401487,0.29957805907172996,-0.0651780473488554,0.06319702602230483,0.04219409282700422,0.12430297397769517,-0.2788104089219331,-1.3240506329113924,-0.015597485814908996,59.0,69.0,18.0,-4.848532121421916,-3.9085593808760577,0.7522374290598206,0.8401486988847584,0.7721518987341772,-0.03422764625317942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,191,27,14,16,0.5795811518324607,-3.561217099114631,0.7853403141361257,53,CG,0.14136125654450263,0.07329842931937172,0.08376963350785341,0.20742963991594396,0.07538041779275519,0.13572717973266304,0.08436290862478373,0.10223548026860844,0.9866196064493897,0,0,0,0,0,304.0,269.0,-113.0,0.23026315789473684,0.21561338289962825,-0.08890190135023421,0.07236842105263158,0.137546468401487,0.0009300082667401399,0.1875,0.06319702602230483,-0.10373036649214659,-0.2944078947368421,-0.2788104089219331,0.8739890465693028,77.0,59.0,-24.0,-4.096294692362095,-4.848532121421916,0.5350775932474643,0.805921052631579,0.8401486988847584,-0.020580738495453277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,232,43,23,20,0.05215517241379307,-2.4523602791948083,0.8663793103448276,52,CG,0.1853448275862069,0.09913793103448276,0.08620689655172414,0.19799129943430951,0.07320347477754106,0.12680878681647859,0.0805461425839054,0.17042771906344448,0.918549477826274,0,0,0,1,0,191.0,304.0,41.0,0.14136125654450263,0.23026315789473684,0.04398357104170428,0.07329842931937172,0.07236842105263158,0.02583950171511104,0.08376963350785341,0.1875,0.0024372630438707354,0.5795811518324607,-0.2944078947368421,-0.5274259794186676,53.0,77.0,-1.0,-3.561217099114631,-4.096294692362095,1.1088568199198225,0.7853403141361257,0.805921052631579,0.08103899620870192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,464,105,76,27,-0.3584051724137931,-3.610779624795459,0.8836206896551724,82,CG,0.22629310344827586,0.16379310344827586,0.05818965517241379,0.19641049045329667,0.06792057747416232,0.12334992984372911,0.07521023224281333,0.15564365073223804,0.8514390092383217,0,0,0,0,0,232.0,191.0,232.0,0.1853448275862069,0.14136125654450263,0.04094827586206895,0.09913793103448276,0.07329842931937172,0.0646551724137931,0.08620689655172414,0.08376963350785341,-0.028017241379310352,0.05215517241379307,0.5795811518324607,-0.4105603448275862,52.0,53.0,30.0,-2.4523602791948083,-3.561217099114631,-1.1584193456006506,0.8663793103448276,0.7853403141361257,0.01724137931034475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-09,258,60,35,22,-0.5348837209302325,-3.949605946178577,0.8062015503875969,70,CG,0.23255813953488372,0.13565891472868216,0.08527131782945736,0.19973078078607212,0.06430997737455693,0.12784361579978987,0.07163271302980892,0.09852711482712348,0.8146720359815631,0,0,1,0,0,464.0,232.0,-206.0,0.22629310344827586,0.1853448275862069,0.006265036086607861,0.16379310344827586,0.09913793103448276,-0.028134188719593695,0.05818965517241379,0.08620689655172414,0.02708166265704357,-0.3584051724137931,0.05215517241379307,-0.1764785485164394,82.0,52.0,-12.0,-3.610779624795459,-2.4523602791948083,-0.33882632138311797,0.8836206896551724,0.8663793103448276,-0.07741913926757549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
