[1] actor_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1156 did not improve (n=5 weeks)
[2] actor_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0884 IMPROVED (n=5 weeks)
[3] location_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0853 IMPROVED (n=5 weeks)
[4] location_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0845 IMPROVED (n=5 weeks)
[5] violence_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0855 IMPROVED (n=5 weeks)
[6] violence_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0898 IMPROVED (n=5 weeks)
[7] diplomacy_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0857 IMPROVED (n=5 weeks)
[8] diplomacy_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0837 IMPROVED (n=5 weeks)
[9] actor_location | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1031 IMPROVED (n=5 weeks)
[10] actor_location | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0860 IMPROVED (n=5 weeks)
[11] actor_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1097 did not improve (n=5 weeks)
[12] actor_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0865 IMPROVED (n=5 weeks)
[13] actor_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1179 did not improve (n=5 weeks)
[14] actor_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0881 IMPROVED (n=5 weeks)
[15] location_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0871 IMPROVED (n=5 weeks)
[16] location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0880 IMPROVED (n=5 weeks)
[17] location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0872 IMPROVED (n=5 weeks)
[18] location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0845 IMPROVED (n=5 weeks)
[19] violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0856 IMPROVED (n=5 weeks)
[20] violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0846 IMPROVED (n=5 weeks)
[21] actor_location_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1052 did not improve (n=5 weeks)
[22] actor_location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0891 IMPROVED (n=5 weeks)
[23] actor_location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.1076 did not improve (n=5 weeks)
[24] actor_location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0863 IMPROVED (n=5 weeks)
[25] actor_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0951 IMPROVED (n=5 weeks)
[26] actor_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0844 IMPROVED (n=5 weeks)
[27] location_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0866 IMPROVED (n=5 weeks)
[28] location_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0853 IMPROVED (n=5 weeks)
[29] all_combined | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0926 IMPROVED (n=5 weeks)
[30] all_combined | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0871 IMPROVED (n=5 weeks)

DONE, 30 real feature-engineering variants tested in 1308.6s
