[1] actor_only | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0716 IMPROVED (n=14 weeks)
[2] actor_only | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0541 IMPROVED (n=14 weeks)
[3] location_only | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0628 IMPROVED (n=14 weeks)
[4] location_only | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0544 IMPROVED (n=14 weeks)
[5] violence_only | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0562 IMPROVED (n=14 weeks)
[6] violence_only | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0545 IMPROVED (n=14 weeks)
[7] diplomacy_only | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0678 IMPROVED (n=14 weeks)
[8] diplomacy_only | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0562 IMPROVED (n=14 weeks)
[9] actor_location | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0714 IMPROVED (n=14 weeks)
[10] actor_location | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0535 IMPROVED (n=14 weeks)
[11] actor_violence | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0714 IMPROVED (n=14 weeks)
[12] actor_violence | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0542 IMPROVED (n=14 weeks)
[13] actor_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0713 IMPROVED (n=14 weeks)
[14] actor_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0557 IMPROVED (n=14 weeks)
[15] location_violence | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0714 IMPROVED (n=14 weeks)
[16] location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0545 IMPROVED (n=14 weeks)
[17] location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0663 IMPROVED (n=14 weeks)
[18] location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0546 IMPROVED (n=14 weeks)
[19] violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0562 IMPROVED (n=14 weeks)
[20] violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0611 IMPROVED (n=14 weeks)
[21] actor_location_violence | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0715 IMPROVED (n=14 weeks)
[22] actor_location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0539 IMPROVED (n=14 weeks)
[23] actor_location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0706 IMPROVED (n=14 weeks)
[24] actor_location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0540 IMPROVED (n=14 weeks)
[25] actor_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0713 IMPROVED (n=14 weeks)
[26] actor_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0609 IMPROVED (n=14 weeks)
[27] location_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0716 IMPROVED (n=14 weeks)
[28] location_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0592 IMPROVED (n=14 weeks)
[29] all_combined | min_relevance=None | min_train=20: baseline_mse=0.1127 radio_mse=0.0707 IMPROVED (n=14 weeks)
[30] all_combined | min_relevance=2 | min_train=20: baseline_mse=0.1127 radio_mse=0.0579 IMPROVED (n=14 weeks)

DONE, 30 real feature-engineering variants tested in 1291.1s
