week,n_events,total_best_deaths,n_state_based,n_nonstate,n_onesided,n_distinct_dyads,country,deaths_per_event,state_based_share,baseline_mean_total_best_deaths,baseline_std_total_best_deaths,baseline_mean_n_events,baseline_std_n_events,escalation,label_1,label_2,label_4,label_8,n_events_lag1,n_events_lag2,n_events_delta,total_best_deaths_lag1,total_best_deaths_lag2,total_best_deaths_delta,deaths_per_event_lag1,deaths_per_event_lag2,deaths_per_event_delta,state_based_share_lag1,state_based_share_lag2,state_based_share_delta,n_distinct_dyads_lag1,n_distinct_dyads_lag2,n_distinct_dyads_delta
1989-01-30,2.0,27.0,0.0,0.0,2.0,1.0,CG,13.5,0.0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
1989-02-06,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,,,,,0,0,0,0,0,2.0,,-2.0,27.0,,-27.0,13.5,,-13.5,0.0,,0.0,1.0,,-1.0
1989-02-13,1.0,1.0,0.0,0.0,1.0,1.0,CG,1.0,0.0,,,,,0,0,0,0,0,0.0,2.0,1.0,0.0,27.0,1.0,0.0,13.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1989-02-20,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,,,,,0,0,0,0,0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
1989-02-27,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,7.0,13.341664064126334,0.75,0.9574271077563381,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1989-03-06,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,5.6,11.970797801316335,0.6,0.8944271909999159,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-03-13,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,4.666666666666667,10.948363652467279,0.5,0.8366600265340756,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-03-20,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,4.0,10.14889156509222,0.42857142857142855,0.7867957924694432,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-03-27,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,3.5,9.501879513323367,0.375,0.7440238091428449,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-04-03,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,3.111111111111111,8.964435905906802,0.3333333333333333,0.7071067811865476,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-04-10,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,2.8,8.508818954473059,0.3,0.6749485577105528,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-04-17,0.0,0.0,0.0,0.0,0.0,0.0,CG,0.0,0.0,2.5454545454545454,8.116201529824606,0.2727272727272727,0.6466697906828632,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
