country,date,gkg_n_docs,gkg_fragility_theme_share,gkg_mean_tone
CO,2026-02-01,380,0.8763157894736842,-1.7115968663481012
BM,2026-02-01,63,0.9047619047619048,-2.1181561353718044
SU,2026-02-01,118,0.923728813559322,-2.3427625699168697
VE,2026-02-01,1240,0.7508064516129033,-2.3904850506154953
AF,2026-02-01,684,0.8026315789473685,-5.0751974703042615
ET,2026-02-01,114,0.7894736842105263,-0.1950209276592058
CO,2026-02-08,111,0.7027027027027027,-0.8200660272084458
BM,2026-02-08,28,0.6071428571428571,2.0253818882855064
SU,2026-02-08,176,0.5625,-4.151950936971086
VE,2026-02-08,532,0.731203007518797,-2.2057044638200693
AF,2026-02-08,331,0.6253776435045317,-3.80799339695787
ET,2026-02-08,116,0.7672413793103449,-3.290937536987778
CO,2026-02-15,223,0.3811659192825112,0.5155936618191633
BM,2026-02-15,46,0.8478260869565217,-0.4765751099780334
SU,2026-02-15,255,0.9450980392156862,-4.730458596902853
VE,2026-02-15,646,0.718266253869969,-2.6654043452461798
AF,2026-02-15,372,0.706989247311828,-1.488848751988371
ET,2026-02-15,278,0.7733812949640287,0.578309276070266
CO,2026-02-22,286,0.8076923076923077,-1.9822748477929046
BM,2026-02-22,19,0.6842105263157895,-1.3209798984222685
SU,2026-02-22,91,0.9230769230769231,-2.942152381970728
VE,2026-02-22,453,0.8013245033112583,-1.4748567294131385
AF,2026-02-22,854,0.9437939110070258,-5.118781452889433
ET,2026-02-22,110,0.7545454545454545,-0.05959838406747635
CO,2026-03-01,297,0.7407407407407407,-1.4943851072305836
BM,2026-03-01,27,0.7037037037037037,-2.1063925734860254
SU,2026-03-01,61,0.9508196721311475,-3.1605002944065568
VE,2026-03-01,989,0.8321536905965622,-3.8214911731462586
AF,2026-03-01,858,0.9522144522144522,-5.113881860856222
ET,2026-03-01,121,0.8181818181818182,-2.328237150271163
CO,2026-03-08,337,0.6320474777448071,-1.2090954629497632
BM,2026-03-08,21,0.8571428571428571,-1.6639310123770492
SU,2026-03-08,177,0.8870056497175142,-2.953311909824396
VE,2026-03-08,998,0.8657314629258517,-2.8396756242354058
AF,2026-03-08,769,0.8478543563068921,-1.9471162647705562
ET,2026-03-08,175,0.6628571428571428,-0.8140094881511223
CO,2026-03-15,84,0.44047619047619047,-0.09475376992904333
BM,2026-03-15,16,0.9375,-2.144127455155156
SU,2026-03-15,109,0.963302752293578,-2.5846412667147702
VE,2026-03-15,542,0.5811808118081181,-1.222681844966623
AF,2026-03-15,488,0.9262295081967213,-4.104113639131082
ET,2026-03-15,134,0.7985074626865671,-2.2447715867681297
CO,2026-03-22,160,0.625,-1.43622534708502
BM,2026-03-22,15,1.0,-1.205703438687128
SU,2026-03-22,227,0.9383259911894273,-6.653826208117124
VE,2026-03-22,718,0.8857938718662952,-3.6575313083460688
AF,2026-03-22,316,0.8829113924050633,-3.8515540854081687
ET,2026-03-22,241,0.921161825726141,0.0025424585228525877
CO,2026-03-29,102,0.5588235294117647,-0.1670710199284971
BM,2026-03-29,20,0.9,-1.9329706968198086
SU,2026-03-29,58,0.9310344827586207,-5.467763689518464
VE,2026-03-29,501,0.7125748502994012,-2.399540844416176
AF,2026-03-29,369,0.8780487804878049,-4.370215321487146
ET,2026-03-29,109,0.8348623853211009,-0.9191328441955974
CO,2026-04-05,71,0.5774647887323944,-0.30801145544475017
BM,2026-04-05,22,0.8636363636363636,-1.0587514166142558
SU,2026-04-05,108,0.9166666666666666,-3.6334987824095784
VE,2026-04-05,180,0.7944444444444444,-2.837529908280552
AF,2026-04-05,320,0.934375,-4.516949309652499
ET,2026-04-05,63,0.746031746031746,-1.1644513191963513
CO,2026-04-12,76,0.631578947368421,-0.8328629890097067
BM,2026-04-12,36,0.8611111111111112,-2.747069676128623
SU,2026-04-12,76,0.9605263157894737,-3.315820503256679
VE,2026-04-12,395,0.8329113924050633,-2.3832115701054586
AF,2026-04-12,315,0.8063492063492064,-2.890512925083893
ET,2026-04-12,67,0.7611940298507462,-1.1925429017446487
CO,2026-04-19,112,0.6428571428571429,-1.4298778594354278
BM,2026-04-19,49,0.8979591836734694,-4.325476469081473
SU,2026-04-19,268,0.9477611940298507,-5.210899222731477
VE,2026-04-19,299,0.842809364548495,-2.4446714560372382
AF,2026-04-19,459,0.9586056644880174,-2.8834204178453025
ET,2026-04-19,63,0.6984126984126984,0.08447824239209363
CO,2026-04-26,406,0.896551724137931,-3.524302131626735
BM,2026-04-26,32,0.8125,1.693179133249881
SU,2026-04-26,106,0.8679245283018868,-3.895016307622991
VE,2026-04-26,336,0.8125,-3.464002309820728
AF,2026-04-26,496,0.8830645161290323,-1.5946201037641625
ET,2026-04-26,697,0.1908177905308465,0.22379552002615594
CO,2026-05-03,475,0.28842105263157897,2.7327229224425302
BM,2026-05-03,124,0.9838709677419355,-2.516328820056791
SU,2026-05-03,325,0.9476923076923077,-4.472963117853216
VE,2026-05-03,252,0.623015873015873,-1.569636846174207
AF,2026-05-03,409,0.7359413202933985,-2.5523508393681276
ET,2026-05-03,116,0.603448275862069,0.287131838251402
CO,2026-05-10,129,0.5736434108527132,-0.26427670678075793
BM,2026-05-10,56,0.8214285714285714,-1.988943455393498
SU,2026-05-10,232,0.9310344827586207,2.412319467706899
VE,2026-05-10,289,0.7923875432525952,-2.5533385909429014
AF,2026-05-10,345,0.7913043478260869,-4.9642894564931845
ET,2026-05-10,96,0.7708333333333334,-0.4545075897017848
CO,2026-05-17,317,0.8485804416403786,-3.789517573186583
BM,2026-05-17,110,0.9272727272727272,0.0038236832753402493
SU,2026-05-17,253,0.9683794466403162,-6.137824688886143
VE,2026-05-17,753,0.799468791500664,-3.1125372959701307
AF,2026-05-17,370,0.8756756756756757,-1.8288760929820138
ET,2026-05-17,80,0.7125,0.29385977714703276
CO,2026-05-24,117,0.6410256410256411,-0.9932235759755952
BM,2026-05-24,19,0.8421052631578947,-1.6845421539495486
SU,2026-05-24,83,0.7710843373493976,-3.025745690104168
VE,2026-05-24,299,0.7625418060200669,-1.6516162964879995
AF,2026-05-24,347,0.6484149855907781,-2.2281583749681206
ET,2026-05-24,122,0.6885245901639344,-1.3598084548541032
CO,2026-05-31,300,0.5533333333333333,-0.49005791287724243
BM,2026-05-31,34,0.7352941176470589,-2.0991371056264145
SU,2026-05-31,64,0.859375,-3.2105910514221803
VE,2026-05-31,350,0.7828571428571428,-2.7035510094478656
AF,2026-05-31,200,0.645,-3.1936488280428916
ET,2026-05-31,232,0.8362068965517241,-1.56927064750163
CO,2026-06-07,126,0.5158730158730159,-0.2590060241684008
BM,2026-06-07,120,0.95,-0.3709493098255775
SU,2026-06-07,79,0.8734177215189873,-4.113092732567667
VE,2026-06-07,163,0.656441717791411,-1.265802922867555
