  20250614: FAILED (HTTP Error 404: Not Found)
  20250615: FAILED (HTTP Error 404: Not Found)
  20250616: FAILED (HTTP Error 404: Not Found)
  20250617: FAILED (HTTP Error 404: Not Found)
  20250618: FAILED (HTTP Error 404: Not Found)
  20250619: FAILED (HTTP Error 404: Not Found)
  20250620: FAILED (HTTP Error 404: Not Found)
  20250621: FAILED (HTTP Error 404: Not Found)
  20250622: FAILED (HTTP Error 404: Not Found)
  20250623: FAILED (HTTP Error 404: Not Found)
  20250624: FAILED (HTTP Error 404: Not Found)
  20250625: FAILED (HTTP Error 404: Not Found)
  20250626: FAILED (HTTP Error 404: Not Found)
  20250627: FAILED (HTTP Error 404: Not Found)
  20250628: FAILED (HTTP Error 404: Not Found)
  20250629: FAILED (HTTP Error 404: Not Found)
  20250630: FAILED (HTTP Error 404: Not Found)
  20250701: FAILED (HTTP Error 404: Not Found)
  20260805: FAILED (HTTP Error 404: Not Found)
[1/1095] 20230807: 6725 rows (total 6725, 0 failed days, elapsed 0.0m, ETA 14.8m)
[21/1095] 20230827: 4097 rows (total 134340, 0 failed days, elapsed 0.3m, ETA 14.7m)
[41/1095] 20230916: 4759 rows (total 254904, 0 failed days, elapsed 0.6m, ETA 14.6m)
[61/1095] 20231006: 6760 rows (total 378894, 0 failed days, elapsed 0.9m, ETA 15.2m)
[81/1095] 20231026: 7283 rows (total 490429, 0 failed days, elapsed 1.2m, ETA 15.5m)
[101/1095] 20231115: 6165 rows (total 606775, 0 failed days, elapsed 1.6m, ETA 15.4m)
[121/1095] 20231205: 6229 rows (total 709287, 0 failed days, elapsed 1.9m, ETA 15.1m)
[141/1095] 20231225: 3327 rows (total 817258, 0 failed days, elapsed 2.2m, ETA 14.6m)
[161/1095] 20240114: 4086 rows (total 919926, 0 failed days, elapsed 2.4m, ETA 14.1m)
[181/1095] 20240203: 3958 rows (total 1036710, 0 failed days, elapsed 2.7m, ETA 13.8m)
[201/1095] 20240223: 5635 rows (total 1148663, 0 failed days, elapsed 3.0m, ETA 13.6m)
[221/1095] 20240314: 7690 rows (total 1274100, 0 failed days, elapsed 3.4m, ETA 13.3m)
[241/1095] 20240403: 6018 rows (total 1396722, 0 failed days, elapsed 3.7m, ETA 13.0m)
[261/1095] 20240423: 6648 rows (total 1507518, 0 failed days, elapsed 4.0m, ETA 12.7m)
[281/1095] 20240513: 5377 rows (total 1609996, 0 failed days, elapsed 4.3m, ETA 12.4m)
[301/1095] 20240602: 2766 rows (total 1721399, 0 failed days, elapsed 4.6m, ETA 12.0m)
[321/1095] 20240622: 4134 rows (total 1818165, 0 failed days, elapsed 4.8m, ETA 11.6m)
[341/1095] 20240712: 5245 rows (total 1934687, 0 failed days, elapsed 5.1m, ETA 11.3m)
[361/1095] 20240801: 6414 rows (total 2040342, 0 failed days, elapsed 5.3m, ETA 10.9m)
[381/1095] 20240821: 5746 rows (total 2150822, 0 failed days, elapsed 5.6m, ETA 10.5m)
[401/1095] 20240910: 6668 rows (total 2267331, 0 failed days, elapsed 5.9m, ETA 10.2m)
[421/1095] 20240930: 5636 rows (total 2387679, 0 failed days, elapsed 6.2m, ETA 9.9m)
[441/1095] 20241020: 3589 rows (total 2499682, 0 failed days, elapsed 6.4m, ETA 9.6m)
[461/1095] 20241109: 5117 rows (total 2604388, 0 failed days, elapsed 6.7m, ETA 9.2m)
[481/1095] 20241129: 4927 rows (total 2719274, 0 failed days, elapsed 7.0m, ETA 8.9m)
[501/1095] 20241219: 5238 rows (total 2819093, 0 failed days, elapsed 7.3m, ETA 8.6m)
[521/1095] 20250108: 5597 rows (total 2912165, 0 failed days, elapsed 7.5m, ETA 8.2m)
[541/1095] 20250128: 7109 rows (total 3027819, 0 failed days, elapsed 7.8m, ETA 7.9m)
[561/1095] 20250217: 4596 rows (total 3134118, 0 failed days, elapsed 8.0m, ETA 7.6m)
[581/1095] 20250309: 3617 rows (total 3233723, 0 failed days, elapsed 8.3m, ETA 7.3m)
[601/1095] 20250329: 5969 rows (total 3355262, 0 failed days, elapsed 8.6m, ETA 7.0m)
[621/1095] 20250418: 5416 rows (total 3468428, 0 failed days, elapsed 8.8m, ETA 6.7m)
[641/1095] 20250508: 12559 rows (total 3619584, 0 failed days, elapsed 9.1m, ETA 6.4m)
[661/1095] 20250528: 6869 rows (total 3774058, 0 failed days, elapsed 9.4m, ETA 6.2m)
[701/1095] 20250707: 5116 rows (total 3895130, 18 failed days, elapsed 13.4m, ETA 7.5m)
[721/1095] 20250727: 3362 rows (total 3996826, 18 failed days, elapsed 13.6m, ETA 7.1m)
[741/1095] 20250816: 4090 rows (total 4106038, 18 failed days, elapsed 13.9m, ETA 6.6m)
[761/1095] 20250905: 5517 rows (total 4212061, 18 failed days, elapsed 14.2m, ETA 6.2m)
[781/1095] 20250925: 5957 rows (total 4311557, 18 failed days, elapsed 14.4m, ETA 5.8m)
[801/1095] 20251015: 8005 rows (total 4426490, 18 failed days, elapsed 14.7m, ETA 5.4m)
[821/1095] 20251104: 5403 rows (total 4545187, 18 failed days, elapsed 15.0m, ETA 5.0m)
[841/1095] 20251124: 5751 rows (total 4653328, 18 failed days, elapsed 15.3m, ETA 4.6m)
[861/1095] 20251214: 3195 rows (total 4771999, 18 failed days, elapsed 15.6m, ETA 4.2m)
[881/1095] 20260103: 10985 rows (total 4869556, 18 failed days, elapsed 15.8m, ETA 3.8m)
[901/1095] 20260123: 6500 rows (total 5031277, 18 failed days, elapsed 16.1m, ETA 3.5m)
[921/1095] 20260212: 5411 rows (total 5133690, 18 failed days, elapsed 16.4m, ETA 3.1m)
[941/1095] 20260304: 5522 rows (total 5236594, 18 failed days, elapsed 16.7m, ETA 2.7m)
[961/1095] 20260324: 5258 rows (total 5319607, 18 failed days, elapsed 17.0m, ETA 2.4m)
[981/1095] 20260413: 4286 rows (total 5402816, 18 failed days, elapsed 17.2m, ETA 2.0m)
[1001/1095] 20260503: 2466 rows (total 5492080, 18 failed days, elapsed 17.5m, ETA 1.6m)
[1021/1095] 20260523: 3245 rows (total 5570692, 18 failed days, elapsed 17.8m, ETA 1.3m)
[1041/1095] 20260612: 3667 rows (total 5647206, 18 failed days, elapsed 18.0m, ETA 0.9m)
[1061/1095] 20260702: 4547 rows (total 5734820, 18 failed days, elapsed 18.3m, ETA 0.6m)
[1081/1095] 20260722: 4358 rows (total 5807818, 18 failed days, elapsed 18.6m, ETA 0.2m)
DONE. wrote data/scraped_large/gdelt_large_raw.csv, 5857450 total rows across 1095 days (19 failed: ['20250614', '20250615', '20250616', '20250617', '20250618', '20250619', '20250620', '20250621', '20250622', '20250623', '20250624', '20250625', '20250626', '20250627', '20250628', '20250629', '20250630', '20250701', '20260805']...)
