country,week,gkg_n_docs,gkg_mean_tone
SU,2023-08-13,353,-3.664702386507794
OD,2023-08-13,55,-6.1410067872695455
PK,2023-08-13,1593,-1.8003456252824166
AF,2023-08-13,1018,-3.8793662185516333
BM,2023-08-13,158,-5.278036829356219
VE,2023-08-13,238,-1.4818793433656483
KE,2023-08-13,339,-0.3476160419974561
CO,2023-08-13,463,-1.9522343994312799
ET,2023-08-13,149,-0.4410932985230353
TI,2023-08-13,209,-8.857980402550172
NU,2023-08-13,31,-0.39946557083904427
SO,2023-08-13,83,-2.2530105135735674
ER,2023-08-13,24,-0.3969187469125181
HA,2023-08-13,115,-2.394548803430617
BL,2023-08-13,51,0.1364589518211896
PE,2023-08-13,132,-0.7405255057233261
EC,2023-08-13,210,-3.933598042741296
UZ,2023-08-13,37,0.5765170889582077
KG,2023-08-13,10,-0.2969251055780578
PK,2023-08-20,1781,-2.9409893954797353
OD,2023-08-20,155,-3.572321010040478
AF,2023-08-20,630,-3.116484351673121
SU,2023-08-20,348,-3.035605560965005
BL,2023-08-20,767,-6.37842070754035
KE,2023-08-20,399,-0.31483349839582375
PE,2023-08-20,156,-0.12354571599224905
VE,2023-08-20,231,-1.1065877654131504
NU,2023-08-20,154,-3.8714598871713717
EC,2023-08-20,355,-3.3064602535478467
ET,2023-08-20,350,-1.8344657263578568
CO,2023-08-20,462,-1.4314337834436393
HA,2023-08-20,272,-3.58459631224335
BM,2023-08-20,48,-1.6925111803674049
TI,2023-08-20,19,-1.316076033752103
UZ,2023-08-20,58,1.2881561625421392
KG,2023-08-20,43,0.7456813577504754
SO,2023-08-20,96,-2.6612696481815283
ER,2023-08-20,34,-3.68476625533595
SU,2023-08-27,296,-3.38636520597063
ET,2023-08-27,440,-0.581441312402257
AF,2023-08-27,962,-2.4336229261988387
VE,2023-08-27,251,-1.431750814681529
EC,2023-08-27,71,-0.47001860748046187
NU,2023-08-27,67,-3.493424663720125
UZ,2023-08-27,51,1.3283861369714138
CO,2023-08-27,139,0.06253562423478097
PK,2023-08-27,1555,-2.0290347924841092
OD,2023-08-27,46,-1.6790306351137987
HA,2023-08-27,219,-3.968172321284512
KE,2023-08-27,472,-0.8358797151723524
SO,2023-08-27,80,-1.9665374516764793
PE,2023-08-27,131,-0.1444256786443015
BM,2023-08-27,148,-1.3328400950290802
BL,2023-08-27,26,0.9589727940183418
KG,2023-08-27,34,0.5600929416534626
TI,2023-08-27,30,0.8486247393740569
ER,2023-08-27,16,-2.9851133754443073
SU,2023-09-03,463,-4.233602122765502
ER,2023-09-03,335,-7.760660765599088
ET,2023-09-03,382,-3.617792294287721
PK,2023-09-03,1449,-2.05600024336461
KE,2023-09-03,601,-1.6033744990538614
